id,source,target,airlines
WUH-XMN,WUH,XMN,8
ATL-RSW,ATL,RSW,8
CLT-ATL,CLT,ATL,8
CKG-LXA,CKG,LXA,8
HRB-TSN,HRB,TSN,8
ATL-PBI,ATL,PBI,8
MEX-MIA,MEX,MIA,8
PMI-MAN,PMI,MAN,8
LIS-BRU,LIS,BRU,8
LIS-AMS,LIS,AMS,8
DUS-ORD,DUS,ORD,8
EWR-LHR,EWR,LHR,8
ATL-MCO,ATL,MCO,8
ATL-MCI,ATL,MCI,8
BRU-LIS,BRU,LIS,8
ATL-LGA,ATL,LGA,8
AMS-LIS,AMS,LIS,8
PVG-XIY,PVG,XIY,8
IAD-LHR,IAD,LHR,8
MAN-TFS,MAN,TFS,8
TPA-ATL,TPA,ATL,8
STL-ATL,STL,ATL,8
PEK-INC,PEK,INC,8
JFK-LAS,JFK,LAS,8
JFK-LAX,JFK,LAX,8
SJU-ATL,SJU,ATL,8
TPE-KIX,TPE,KIX,8
KMG-CSX,KMG,CSX,8
MAN-PMI,MAN,PMI,8
CSX-KMG,CSX,KMG,8
SAN-ATL,SAN,ATL,8
LAS-JFK,LAS,JFK,8
PEK-HGH,PEK,HGH,8
RSW-ATL,RSW,ATL,8
ATL-FLL,ATL,FLL,8
ATL-DTW,ATL,DTW,8
LAX-JFK,LAX,JFK,8
KMG-NKG,KMG,NKG,8
KMG-XIY,KMG,XIY,8
KMG-XMN,KMG,XMN,8
LAX-OGG,LAX,OGG,8
ATL-CMH,ATL,CMH,8
ATL-BOS,ATL,BOS,8
DLC-TSN,DLC,TSN,8
DKR-CKY,DKR,CKY,8
HGH-KMG,HGH,KMG,8
LHR-ATL,LHR,ATL,8
KMG-HGH,KMG,HGH,8
COO-ABJ,COO,ABJ,8
LHR-EWR,LHR,EWR,8
LHR-IAD,LHR,IAD,8
NKG-XMN,NKG,XMN,8
KMG-WUH,KMG,WUH,8
CKY-DKR,CKY,DKR,8
NKG-FOC,NKG,FOC,8
PBI-ATL,PBI,ATL,8
NIM-OUA,NIM,OUA,8
TSN-DLC,TSN,DLC,8
URC-LHW,URC,LHW,8
WUH-KMG,WUH,KMG,8
MAD-FRA,MAD,FRA,8
LXA-CKG,LXA,CKG,8
FRA-MAD,FRA,MAD,8
MRS-CDG,MRS,CDG,8
MEX-ATL,MEX,ATL,8
MIA-CDG,MIA,CDG,8
MIA-LHR,MIA,LHR,8
MCO-ATL,MCO,ATL,8
HGH-KWL,HGH,KWL,8
NRT-BKK,NRT,BKK,8
BAH-AUH,BAH,AUH,8
NRT-LAX,NRT,LAX,8
NRT-SIN,NRT,SIN,8
MCI-ATL,MCI,ATL,8
AUH-BAH,AUH,BAH,8
NKG-KMG,NKG,KMG,8
HGH-SYX,HGH,SYX,8
KWE-XIY,KWE,XIY,8
ORD-DUS,ORD,DUS,8
KBV-BKK,KBV,BKK,8
JFK-FRA,JFK,FRA,8
KWL-HGH,KWL,HGH,8
CSX-XMN,CSX,XMN,8
HGH-PEK,HGH,PEK,8
HKG-SIN,HKG,SIN,8
SEA-LHR,SEA,LHR,8
SIN-NRT,SIN,NRT,8
FOC-NKG,FOC,NKG,8
CEI-BKK,CEI,BKK,8
SFO-LAX,SFO,LAX,7
PHX-DEN,PHX,DEN,7
SLC-LAX,SLC,LAX,7
SMF-LAX,SMF,LAX,7
ORD-FCO,ORD,FCO,7
SYD-CHC,SYD,CHC,7
SYD-MEL,SYD,MEL,7
ORD-DUB,ORD,DUB,7
OGG-LAX,OGG,LAX,7
NRT-HNL,NRT,HNL,7
ABJ-OUA,ABJ,OUA,7
MEX-LAX,MEX,LAX,7
MEL-SYD,MEL,SYD,7
MCO-LGW,MCO,LGW,7
LHR-YYZ,LHR,YYZ,7
LHR-MIA,LHR,MIA,7
LHR-LIS,LHR,LIS,7
LHR-DFW,LHR,DFW,7
LHE-AUH,LHE,AUH,7
LGW-MCO,LGW,MCO,7
LAX-SFO,LAX,SFO,7
KGL-NBO,KGL,NBO,7
YYZ-YUL,YYZ,YUL,7
AMS-AUH,AMS,AUH,7
ATL-AUS,ATL,AUS,7
ATL-BDL,ATL,BDL,7
ATL-BNA,ATL,BNA,7
LAX-PVG,LAX,PVG,7
ATL-BWI,ATL,BWI,7
ATL-CHS,ATL,CHS,7
LAX-ORD,LAX,ORD,7
LAX-MEX,LAX,MEX,7
ATL-DCA,ATL,DCA,7
LAX-HNL,LAX,HNL,7
ATL-EWR,ATL,EWR,7
LAX-GDL,LAX,GDL,7
LAX-DEN,LAX,DEN,7
LAX-BOS,LAX,BOS,7
JFK-YYZ,JFK,YYZ,7
JFK-SFO,JFK,SFO,7
JFK-FCO,JFK,FCO,7
ATL-LAS,ATL,LAS,7
HNL-NRT,HNL,NRT,7
GDL-LAX,GDL,LAX,7
FCO-ORD,FCO,ORD,7
FCO-JFK,FCO,JFK,7
ATL-MEM,ATL,MEM,7
ATL-MEX,ATL,MEX,7
DUB-ORD,DUB,ORD,7
ATL-OKC,ATL,OKC,7
ATL-ORF,ATL,ORF,7
DEN-PHX,DEN,PHX,7
ATL-PIT,ATL,PIT,7
DEN-LAX,DEN,LAX,7
ATL-RIC,ATL,RIC,7
CHC-SYD,CHC,SYD,7
BOS-LAX,BOS,LAX,7
ATL-SAT,ATL,SAT,7
AUH-LHE,AUH,LHE,7
ATL-SJU,ATL,SJU,7
AKL-BNE,AKL,BNE,7
ATL-TPA,ATL,TPA,7
AUH-AMS,AUH,AMS,7
AUS-ATL,AUS,ATL,7
BDL-ATL,BDL,ATL,7
MSP-ATL,MSP,ATL,7
BOS-ATL,BOS,ATL,7
BWI-ATL,BWI,ATL,7
CVG-ATL,CVG,ATL,7
ATL-CVG,ATL,CVG,7
SZX-SHA,SZX,SHA,7
SJW-HGH,SJW,HGH,7
SHE-HGH,SHE,HGH,7
SHA-SZX,SHA,SZX,7
DCA-ATL,DCA,ATL,7
SHA-CTU,SHA,CTU,7
EWR-ATL,EWR,ATL,7
SHA-CKG,SHA,CKG,7
SHA-CAN,SHA,CAN,7
PVG-KWL,PVG,KWL,7
PVG-KIX,PVG,KIX,7
PVG-HKG,PVG,HKG,7
PVG-DLC,PVG,DLC,7
KWL-PVG,KWL,PVG,7
JFK-ATL,JFK,ATL,7
KIX-PVG,KIX,PVG,7
HKG-PVG,HKG,PVG,7
HGH-SZX,HGH,SZX,7
LAS-ATL,LAS,ATL,7
HGH-SJW,HGH,SJW,7
LGA-ATL,LGA,ATL,7
LUN-HRE,LUN,HRE,7
HGH-SHE,HGH,SHE,7
DLC-PVG,DLC,PVG,7
MEM-ATL,MEM,ATL,7
CTU-SHA,CTU,SHA,7
MKE-ATL,MKE,ATL,7
CKG-SHA,CKG,SHA,7
MSP-LAX,MSP,LAX,7
CAN-SHA,CAN,SHA,7
SFO-JFK,SFO,JFK,7
LJG-KMG,LJG,KMG,7
PIT-ATL,PIT,ATL,7
KMG-PVG,KMG,PVG,7
RIC-ATL,RIC,ATL,7
KIX-ICN,KIX,ICN,7
ICN-KIX,ICN,KIX,7
SAT-ATL,SAT,ATL,7
ICN-FUK,ICN,FUK,7
FUK-ICN,FUK,ICN,7
SIN-MAA,SIN,MAA,7
MAA-SIN,MAA,SIN,7
ICN-SFO,ICN,SFO,7
SFO-ICN,SFO,ICN,7
EZE-GRU,EZE,GRU,7
GRU-EZE,GRU,EZE,7
MAA-BOM,MAA,BOM,7
COK-BOM,COK,BOM,7
NSI-DLA,NSI,DLA,7
BOM-MAA,BOM,MAA,7
BOM-COK,BOM,COK,7
ICN-CEB,ICN,CEB,7
CEB-ICN,CEB,ICN,7
FCO-PRG,FCO,PRG,7
PRG-FCO,PRG,FCO,7
MIA-MEX,MIA,MEX,7
XNN-CKG,XNN,CKG,7
XMN-XIY,XMN,XIY,7
LCA-LGW,LCA,LGW,7
XIY-XMN,XIY,XMN,7
LGW-LCA,LGW,LCA,7
XIY-TNA,XIY,TNA,7
WUH-NNG,WUH,NNG,7
WUH-CTU,WUH,CTU,7
TSN-CKG,TSN,CKG,7
CSX-XIY,CSX,XIY,7
TNA-XIY,TNA,XIY,7
TNA-HRB,TNA,HRB,7
TSN-XIY,TSN,XIY,7
XIY-CSX,XIY,CSX,7
XIY-TSN,XIY,TSN,7
ICN-TPE,ICN,TPE,7
TPE-ICN,TPE,ICN,7
CGO-KWE,CGO,KWE,7
TNA-CTU,TNA,CTU,7
HFE-XMN,HFE,XMN,7
SZX-CTU,SZX,CTU,7
HGH-HKG,HGH,HKG,7
PVG-CTU,PVG,CTU,7
PVG-CKG,PVG,CKG,7
HGH-XIY,HGH,XIY,7
HKG-HGH,HKG,HGH,7
INC-PEK,INC,PEK,7
KWE-CGO,KWE,CGO,7
NNG-WUH,NNG,WUH,7
LJG-CKG,LJG,CKG,7
KWE-KMG,KWE,KMG,7
KMG-KWE,KMG,KWE,7
KMG-CGO,KMG,CGO,7
PEK-SHA,PEK,SHA,7
JZH-CTU,JZH,CTU,7
SHA-PEK,SHA,PEK,7
SHA-TSN,SHA,TSN,7
HRB-TNA,HRB,TNA,7
TAO-XIY,TAO,XIY,7
TSN-SHA,TSN,SHA,7
HRB-CGO,HRB,CGO,7
XIY-HGH,XIY,HGH,7
HGH-HAK,HGH,HAK,7
XIY-KWL,XIY,KWL,7
HAK-HGH,HAK,HGH,7
XIY-TAO,XIY,TAO,7
XMN-HFE,XMN,HFE,7
CTU-WUH,CTU,WUH,7
XMN-WUH,XMN,WUH,7
SIN-SUB,SIN,SUB,7
CTU-SZX,CTU,SZX,7
CTU-PVG,CTU,PVG,7
CTU-JZH,CTU,JZH,7
ACE-MAN,ACE,MAN,7
MAN-ACE,MAN,ACE,7
CKG-XNN,CKG,XNN,7
CKG-TSN,CKG,TSN,7
CKG-PVG,CKG,PVG,7
ABJ-ACC,ABJ,ACC,7
CKG-LJG,CKG,LJG,7
HBE-JED,HBE,JED,7
JED-HBE,JED,HBE,7
AKL-MEL,AKL,MEL,7
CGO-KMG,CGO,KMG,7
MEL-SIN,MEL,SIN,7
SIN-MEL,SIN,MEL,7
MAN-PFO,MAN,PFO,7
TFS-MAN,TFS,MAN,7
CGK-DPS,CGK,DPS,7
CGO-HRB,CGO,HRB,7
DPS-CGK,DPS,CGK,7
TPE-SIN,TPE,SIN,7
SIN-TPE,SIN,TPE,7
OUA-NIM,OUA,NIM,7
OUA-ABJ,OUA,ABJ,7
ORF-ATL,ORF,ATL,7
SHE-NKG,SHE,NKG,6
SHE-XIY,SHE,XIY,6
TUS-LAX,TUS,LAX,6
YUL-JFK,YUL,JFK,6
YUL-LGA,YUL,LGA,6
YUL-LHR,YUL,LHR,6
YUL-ORD,YUL,ORD,6
YVR-LHR,YVR,LHR,6
YYC-LHR,YYC,LHR,6
YYZ-JFK,YYZ,JFK,6
YYZ-LGA,YYZ,LGA,6
YYZ-LHR,YYZ,LHR,6
YYZ-ORD,YYZ,ORD,6
CTA-DUS,CTA,DUS,6
AUH-SIN,AUH,SIN,6
CTA-TXL,CTA,TXL,6
BCN-VIE,BCN,VIE,6
DUS-CTA,DUS,CTA,6
DUS-HER,DUS,HER,6
TAO-SHA,TAO,SHA,6
HER-DUS,HER,DUS,6
MUC-MAD,MUC,MAD,6
SIN-AUH,SIN,AUH,6
URC-SHA,URC,SHA,6
TXL-CPH,TXL,CPH,6
VIE-BCN,VIE,BCN,6
VIE-ZRH,VIE,ZRH,6
ADD-JED,ADD,JED,6
AMS-CPH,AMS,CPH,6
XIY-SHE,XIY,SHE,6
ATL-YYZ,ATL,YYZ,6
BJM-NBO,BJM,NBO,6
CDG-YUL,CDG,YUL,6
CDG-YYZ,CDG,YYZ,6
XMN-SHA,XMN,SHA,6
TXL-CTA,TXL,CTA,6
CPH-AMS,CPH,AMS,6
CPH-OSL,CPH,OSL,6
ATL-GSO,ATL,GSO,6
KWE-CTU,KWE,CTU,6
DOH-FRA,DOH,FRA,6
FRA-DOH,FRA,DOH,6
FRA-JED,FRA,JED,6
JED-ADD,JED,ADD,6
JED-FRA,JED,FRA,6
ATL-TYS,ATL,TYS,6
KWE-HGH,KWE,HGH,6
YUL-CDG,YUL,CDG,6
YUL-YYZ,YUL,YYZ,6
