Station,Date,Total,
83781,31/10/2000,59,
83781,30/11/2000,186,
83781,31/12/2000,249.7,
83781,31/01/2001,144.2,
83781,28/02/2001,290.1,
83781,31/03/2001,138.5,
83781,30/04/2001,32.9,
83781,31/05/2001,86.1,
83781,30/06/2001,24.5,
83781,31/07/2001,41,
83781,31/08/2001,32.8,
83781,30/09/2001,88.5,
83781,31/10/2001,204.3,
83781,30/11/2001,185.2,
83781,31/12/2001,187,
83781,31/01/2002,284.8,
83781,28/02/2002,172.5,
83781,31/03/2002,326.5,
83781,30/04/2002,53.5,
83781,31/05/2002,93,
83781,30/06/2002,1.3,
83781,31/07/2002,22.9,
83781,31/08/2002,46.4,
83781,30/09/2002,54.8,
83781,31/10/2002,124.9,
83781,30/11/2002,226.5,
83781,31/12/2002,235.3,
83781,31/01/2003,317.2,
83781,28/02/2003,109.4,
83781,31/03/2003,126.5,
83781,30/04/2003,45.6,
83781,31/05/2003,33.1,
83781,30/06/2003,16,
83781,31/07/2003,19,
83781,31/08/2003,25.3,
83781,30/09/2003,34.5,
83781,31/10/2003,126.7,
83781,30/11/2003,99.3,
83781,31/12/2003,139.8,
83781,31/01/2004,284.5,
83781,29/02/2004,335.6,
83781,31/03/2004,130.7,
83781,30/04/2004,123.4,
83781,31/05/2004,60.1,
83781,30/06/2004,66.8,
83781,31/07/2004,97.4,
83781,31/08/2004,2.7,
83781,30/09/2004,9.3,
83781,31/10/2004,97.4,
83781,30/11/2004,173.6,
83781,31/12/2004,262.9,
83781,31/01/2005,312.1,
83781,28/02/2005,99.9,
83781,31/03/2005,286.6,
83781,30/04/2005,133.2,
83781,31/05/2005,199,
83781,30/06/2005,30.4,
83781,31/07/2005,13.7,
83781,31/08/2005,9.5,
83781,30/09/2005,138.8,
83781,31/10/2005,172.1,
83781,30/11/2005,106.1,
83781,31/12/2005,228.2,
83781,31/01/2006,348,
83781,28/02/2006,166,
83781,31/03/2006,607.9,
83781,30/04/2006,51.1,
83781,31/05/2006,15,
83781,30/06/2006,24.2,
83781,31/07/2006,71,
83781,31/08/2006,5.8,
83781,30/09/2006,77.7,
83781,31/10/2006,100.4,
83781,30/11/2006,230.7,
83781,31/12/2006,311.5,
83781,31/01/2007,213.5,
83781,28/02/2007,285.9,
83781,31/03/2007,185.4,
83781,30/04/2007,124.8,
83781,31/05/2007,59,
83781,30/06/2007,30.7,
83781,31/07/2007,148.3,
83781,31/08/2007,0,
83781,30/09/2007,15.7,
83781,31/10/2007,109.3,
83781,30/11/2007,219.9,
83781,31/12/2007,230.9,
83781,31/01/2008,318.5,
83781,29/02/2008,236.3,
83781,31/03/2008,180.8,
83781,30/04/2008,96.6,
83781,31/05/2008,80.3,
83781,30/06/2008,78.2,
83781,31/07/2008,0,
83781,31/08/2008,78.5,
83781,30/09/2008,43.9,
83781,31/10/2008,161.4,
83781,30/11/2008,165.1,
83781,31/12/2008,220.2,
83781,31/01/2009,351.8,
83781,28/02/2009,200.2,
83781,31/03/2009,125.7,
83781,30/04/2009,69.6,
83781,31/05/2009,50,
83781,30/06/2009,49.8,
83781,31/07/2009,179.7,
83781,31/08/2009,102.8,
83781,30/09/2009,192.2,
83781,31/10/2009,154.5,
83781,30/11/2009,177.3,
83781,31/12/2009,363.7,
83781,31/01/2010,480.5,
83781,28/02/2010,296.5,
83781,31/03/2010,184.5,
83781,30/04/2010,124.5,
83781,31/05/2010,65.2,
83781,30/06/2010,13.1,
83781,31/07/2010,93.5,
83781,31/08/2010,0.4,
83781,30/09/2010,104.8,
83781,31/10/2010,70.1,
83781,30/11/2010,109.6,
83781,31/12/2010,343.1,
83781,31/01/2011,493.7,
83781,28/02/2011,311.5,
83781,31/03/2011,164,
83781,30/04/2011,133,
83781,31/05/2011,30.4,
83781,30/06/2011,81.6,
83781,31/07/2011,4.5,
83781,31/08/2011,46.3,
83781,30/09/2011,7.4,
83781,31/10/2011,149.6,
83781,30/11/2011,141.3,
83781,31/12/2011,136.8,
83781,31/01/2012,332.6,
83781,29/02/2012,224.2,
83781,31/03/2012,187.6,
83781,30/04/2012,155.9,
83781,31/05/2012,82.7,
83781,30/06/2012,233.7,
83781,31/07/2012,74.7,
83781,31/08/2012,0.3,
83781,30/09/2012,19.2,
83781,31/10/2012,128.3,
83781,30/11/2012,91.6,
83781,31/12/2012,401.9,
83781,31/01/2013,169.2,
83781,28/02/2013,278,
83781,31/03/2013,174.5,
83781,30/04/2013,70.7,
83781,31/05/2013,42.5,
83781,30/06/2013,143.2,
83781,31/07/2013,90.9,
83781,31/08/2013,7.7,
83781,30/09/2013,81.3,
83781,31/10/2013,126.6,
83781,30/11/2013,123.6,
83781,31/12/2013,83.1,
83781,31/01/2014,237.9,
83781,28/02/2014,197.6,
83781,31/03/2014,226.9,
83781,30/04/2014,79.7,
83781,31/05/2014,46,
83781,30/06/2014,9.7,
83781,31/07/2014,21.4,
83781,31/08/2014,29.6,
83781,30/09/2014,58.7,
83781,31/10/2014,25.2,
83781,30/11/2014,117.5,
83781,31/12/2014,203.1,
83781,31/01/2015,156.2,
83781,28/02/2015,273,
83781,31/03/2015,332.7,
83781,30/04/2015,108.1,
83781,31/05/2015,50.7,
83781,30/06/2015,20.3,
